name,in_bearbeitung,antraege,erstantrag_in_bearbeitung,gewaehrt,teilweise_gewaehrt,abgelehnt,sonstige,vorschuss,gebuehr_erhoben,lte_50,lte_100,gt_100,auslagen,widersprueche_bearbeitung_jahresbeginn,widersprueche,widersprueche_in_bearbeitung,widersprueche_abhilfe,widersprueche_teilweise_abhilfe,widersprueche_zurueckweisung,widersprueche_sonstige,widersprueche_lte_30,widersprueche_gt_30,klagen_anhaengig_jahresbeginn,klagen,klagen_anhaengig,klagen_stattgabe,klagen_teilweise_stattgabe,klagen_abweisung,klagen_sonstige
BK,16,786,15,754,17,7,9,,9,,1,8,10,2,8,4,,4,1,1,,4,4,7,6,,1,1,3
BK GB,,4,,,,4,,,,,,,,,1,1,,,,,,,,,,,,,
BK Gesamt,16,790,15,754,17,11,9,,9,,1,8,10,2,9,5,,4,1,1,,4,4,7,6,,1,1,3
BMAS,9,27,5,14,4,12,1,1,5,,,5,3,,8,2,1,2,3,,4,,2,2,2,1,,1,
BMAS GB,8,332,9,161,6,144,20,209,94,3,1,90,10,20,36,40,1,,14,1,2,,,7,3,,,3,1
BMAS Gesamt,17,359,14,175,10,156,21,210,99,3,1,95,13,20,44,42,2,2,17,1,6,,2,9,5,1,,4,1
AA,6,147,16,63,17,7,50,1,35,20,10,5,5,,13,3,3,1,3,3,2,1,5,3,3,,,1,4
AA GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Gesamt,6,147,16,63,17,7,50,1,35,20,10,5,5,,13,3,3,1,3,3,2,1,5,3,3,,,1,4
BMI,39,149,11,48,75,28,26,1,69,8,23,38,67,,49,45,,1,3,,2,,2,5,4,,,,3
BMI GB,6,70,7,24,10,15,20,,7,2,2,3,1,3,7,2,1,,7,,7,,10,1,8,1,,,2
BMI Gesamt,45,219,18,72,85,43,46,1,76,10,25,41,68,3,56,47,1,1,10,,9,,12,6,12,1,,,5
BMJ,11,57,4,27,14,14,9,,9,7,,2,9,,9,3,1,1,4,,1,4,5,5,3,,,5,2
BMJ GB,2,41,6,21,3,2,11,,2,1,,1,7,,4,1,,,3,,4,,1,1,1,1,,,
BMJ Gesamt,13,98,10,48,17,16,20,,11,8,,3,16,,13,4,1,1,7,,5,4,6,6,4,1,,5,2
BMF,7,64,4,30,9,22,6,,10,4,1,5,7,3,6,1,1,2,4,1,3,1,,4,3,,,,1
BMF GB,51,2903,556,689,1460,149,100,5,232,67,83,82,81,127,3042,39,9,1614,1435,72,3042,1,412,164,405,,,2,169
BMF Gesamt,58,2967,560,719,1469,171,106,5,242,71,84,87,88,130,3048,40,10,1616,1439,73,3045,2,412,168,408,,,2,170
BMWi,8,125,23,30,24,42,14,,11,3,5,3,7,5,24,7,1,3,15,3,17,5,1,14,14,,,,1
BMWi GB,1,437,9,365,17,36,11,,54,48,3,3,2,,5,2,,,3,,1,,5,2,7,,,,
BMWi Gesamt,9,562,32,395,41,78,25,,65,51,8,6,9,5,29,9,1,3,18,3,18,5,6,16,21,,,,1
BMELV,1,7,2,5,1,,,,2,2,,,1,,,,,,,,,,1,,1,,,,
BMELV GB,2,40,,38,1,,3,,25,2,11,12,21,2,,1,,,,1,,,,,,,,,
BMELV Gesamt,3,47,2,43,2,,3,,27,4,11,12,22,2,,1,,,,1,,,1,,1,,,,
BMVg,4,47,3,33,6,3,6,,3,,,3,,,3,1,,1,1,,,,1,,,,,1,
BMVg GB,,21,2,17,,,2,,2,,1,1,,,,,,,,,,,,,,,,,
BMVg Gesamt,4,68,5,50,6,3,8,,5,,1,4,,0,3,1,,1,1,,,,,,,,,,
BMFSFJ,1,14,2,7,2,3,1,,1,1,,,,,2,,,,2,,2,,1,,1,,,,
BMG,3,22,3,11,3,4,4,,1,,,1,,1,1,1,,,1,,1,,1,,1,,,,
BMG GB,14,308,24,230,33,24,11,,17,4,4,9,12,2,1,,1,,2,,1,,,3,2,,,,1
BMG Gesamt,17,330,27,241,36,28,15,,18,4,4,10,12,3,2,1,1,,3,,2,,1,3,3,,,,1
BMVBS,9,53,6,20,15,6,15,,2,1,,1,2,5,5,6,,,4,,4,,4,3,3,,,,4
BMVBS GB,17,153,9,127,10,5,19,,29,9,10,10,14,3,6,1,,1,6,1,2,2,,,,,,,
BMVBS Gesamt,26,206,15,147,25,11,34,,31,10,10,11,16,8,11,7,,1,10,1,6,2,4,3,3,,,,4
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU GB,,14,2,9,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,
BMU Gesamt,,14,2,9,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,
BMBF,10,29,2,21,6,10,,,,,,,,1,4,2,,1,2,,,,1,,1,,,,
BMBF GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMBF Gesamt,10,29,2,21,6,10,,,,,,,,1,4,2,,1,2,,,,1,,1,,,,
BKM,4,2,1,2,2,,1,,2,,,2,2,,2,2,,,,,,,1,,1,,,,
BKM GB,6,13,7,6,2,1,3,,3,2,1,,3,,,,,,,,,,,,,,,,
BKM Gesamt,10,15,8,8,4,1,4,,5,2,1,2,5,,2,2,,,,,,,1,,1,,,,
BMZ,,21,2,19,,,,,1,1,,,,,,,,,,,,,,,,,,,
BPA,,10,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,
BPräsA,,14,,7,,6,1,,,,,,,,,,,,,,,,,,,,,,
BT,5,90,10,4,12,56,13,,1,,1,,1,,8,1,,,4,3,3,,9,2,6,,,4,1
BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBank,,13,1,8,,4,,,2,2,,,1,,1,,,,1,,1,,,1,1,,,,
